# Text Cleanup report
Version	0.5
Input	/Users/michael/Documents/Msc/IQSS/general/historical-text-cleanup/data/70Election/1.txt
Output	/Users/michael/Documents/Msc/IQSS/general/historical-text-cleanup/data-clean/1.txt
# Counts
Pass	11603
Fixed	748
Unfixable	1
Original length	66619
Total Levenshtein dist	1591
# Fixes
Original	Fix	Heuristic
hum-drum	humdrum	SpellCheckersHeuristic (dist:5)
mucn	much	SpellCheckersHeuristic (dist:5)
wife's	wide'ses	TextCoreSpellCheckHeuristic
can't	canst	SpellCheckersHeuristic (dist:5)
 # alternatives
	can'st	SpellCheckersHeuristic (dist:5)
	ca n't	WordUnmergerHeuristic
Don't	do n't	WordUnmergerHeuristic
highroad	high-road	SpellCheckersHeuristic (dist:5)
 # alternatives
	high road	WordUnmergerHeuristic
haven't	have n't	WordUnmergerHeuristic
billard	billiard	SpellCheckersHeuristic (dist:5)
milk-sop,,	mild-soph,,	TextCoreSpellCheckHeuristic
Scoldings?	scolding?	TextCoreSpellCheckHeuristic
scoldings	scolding	SpellCheckersHeuristic (dist:5)
 # alternatives
	scold ings	WordUnmergerHeuristic
tripping.-Just	stripping.-jest	TextCoreSpellCheckHeuristic
mother's	mothers	SpellCheckersHeuristic (dist:5)
misapprehensions	misapprehension	SpellCheckersHeuristic (dist:5)
 # alternatives
	mis apprehensions	WordUnmergerHeuristic
dear-mother's	deac-mothers'ses	TextCoreSpellCheckHeuristic
there's	thereat	SpellCheckersHeuristic (dist:5)
Don't	do n't	WordUnmergerHeuristic
It's	its	SpellCheckersHeuristic (dist:5)
blandest	bland est	WordUnmergerHeuristic
didn't	did n't	WordUnmergerHeuristic
Tnifrbt	winifred	SpellCheckersHeuristic (dist:5)
KolrlAa	balaam	SpellCheckersHeuristic (dist:5)
liasl	lias	SpellCheckersHeuristic (dist:5)
Trt	trot	SpellCheckersHeuristic (dist:5)
Jle	jule	SpellCheckersHeuristic (dist:5)
 # alternatives
	joe	SpellCheckersHeuristic (dist:5)
cannot	cannon	SpellCheckersHeuristic (dist:5)
 # alternatives
	can not	WordUnmergerHeuristic
plngues	plagues	SpellCheckersHeuristic (dist:5)
Egyot	egypt	SpellCheckersHeuristic (dist:5)
Bessie's	bessie	SpellCheckersHeuristic (dist:5)
 # alternatives
	jessie'ses	TextCoreSpellCheckHeuristic
forty-woman	forte-women	TextCoreSpellCheckHeuristic
tola	told	SpellCheckersHeuristic (dist:5)
 # alternatives
	to la	WordUnmergerHeuristic
	tol a	WordUnmergerHeuristic
tne,	tine,	TextCoreSpellCheckHeuristic
won't	wont	SpellCheckersHeuristic (dist:5)
 # alternatives
	wo n't	WordUnmergerHeuristic
romoted	promoted	SpellCheckersHeuristic (dist:5)
ndeed,	indeed,	TextCoreSpellCheckHeuristic
Buch	buck	SpellCheckersHeuristic (dist:5)
spooney	spooner	SpellCheckersHeuristic (dist:5)
dread'ul	dreadful	SpellCheckersHeuristic (dist:5)
William's	williams	SpellCheckersHeuristic (dist:5)
don't	do n't	WordUnmergerHeuristic
twelve-month	twelvemonth	SpellCheckersHeuristic (dist:5)
wifey's	wife'ses	TextCoreSpellCheckHeuristic
hubby	hobby	SpellCheckersHeuristic (dist:5)
 # alternatives
	chubby	SpellCheckersHeuristic (dist:5)
	hub by	WordUnmergerHeuristic
noodles	poodles	SpellCheckersHeuristic (dist:5)
don't	do n't	WordUnmergerHeuristic
sie's	sieges	SpellCheckersHeuristic (dist:5)
 # alternatives
	siege	SpellCheckersHeuristic (dist:5)
can't	canst	SpellCheckersHeuristic (dist:5)
 # alternatives
	can'st	SpellCheckersHeuristic (dist:5)
	ca n't	WordUnmergerHeuristic
BRIDE'S	brides	SpellCheckersHeuristic (dist:5)
won't	wont	SpellCheckersHeuristic (dist:5)
 # alternatives
	wo n't	WordUnmergerHeuristic
cannot	cannon	SpellCheckersHeuristic (dist:5)
 # alternatives
	can not	WordUnmergerHeuristic
resch..	reach..	TextCoreSpellCheckHeuristic
ff.krv.rrxivi-tti	off.karl.arriving-tai	TextCoreSpellCheckHeuristic
ti.tr.	tie.try.	TextCoreSpellCheckHeuristic
JIAJl'I	l'isle	SpellCheckersHeuristic (dist:5)
rp1	rap1	TextCoreSpellCheckHeuristic
:JA'i	jamie	SpellCheckersHeuristic (dist:5)
 # alternatives
	:jaf'ian	TextCoreSpellCheckHeuristic
Derce	dence	SpellCheckersHeuristic (dist:5)
 # alternatives
	der ce	WordUnmergerHeuristic
nitons	ni tons	WordUnmergerHeuristic
cannot	cannon	SpellCheckersHeuristic (dist:5)
 # alternatives
	can not	WordUnmergerHeuristic
nnderstan	understand	SpellCheckersHeuristic (dist:5)
patchouiy,	patched,	TextCoreSpellCheckHeuristic
rrom	room	SpellCheckersHeuristic (dist:5)
decimals	decimal	SpellCheckersHeuristic (dist:5)
wood-sawing	woof-sewing	TextCoreSpellCheckHeuristic
ditching.	hitching.	TextCoreSpellCheckHeuristic
incidentals	incidental	SpellCheckersHeuristic (dist:5)
family's	families	SpellCheckersHeuristic (dist:5)
cannot	cannon	SpellCheckersHeuristic (dist:5)
 # alternatives
	can not	WordUnmergerHeuristic
muchto	much to	WordUnmergerHeuristic
Pythias,	mythical	SpellCheckersHeuristic (dist:5)
don't	do n't	WordUnmergerHeuristic
mange,	manger	SpellCheckersHeuristic (dist:5)
 # alternatives
	manger,	TextCoreSpellCheckHeuristic
latch-key	batch-keys	TextCoreSpellCheckHeuristic
ppeep	peep	SpellCheckersHeuristic (dist:5)
Ain't	ai n't	WordUnmergerHeuristic
iiessie,	bessie,	TextCoreSpellCheckHeuristic
Wasn't	was n't	WordUnmergerHeuristic
pleasKure,	pleasure,	TextCoreSpellCheckHeuristic
pleasureable	pleasurable	SpellCheckersHeuristic (dist:5)
 # alternatives
	pleasure able	WordUnmergerHeuristic
gently-resisting	gentle-resist ing	TextCoreSpellCheckHeuristic
envelops	envelope	SpellCheckersHeuristic (dist:5)
 # alternatives
	envelopes	SpellCheckersHeuristic (dist:5)
reacts	react	SpellCheckersHeuristic (dist:5)
 # alternatives
	re acts	WordUnmergerHeuristic
	rea cts	WordUnmergerHeuristic
ttie	tie	SpellCheckersHeuristic (dist:5)
bather	bathed	SpellCheckersHeuristic (dist:5)
 # alternatives
	bat her	WordUnmergerHeuristic
	bath er	WordUnmergerHeuristic
overheated	over heated	WordUnmergerHeuristic
and!in	andr!inc	TextCoreSpellCheckHeuristic
neaitnrui	neatness	SpellCheckersHeuristic (dist:5)
bather	bathed	SpellCheckersHeuristic (dist:5)
 # alternatives
	bat her	WordUnmergerHeuristic
	bath er	WordUnmergerHeuristic
fubbed	dubbed	SpellCheckersHeuristic (dist:5)
foaped	foamed	SpellCheckersHeuristic (dist:5)
z.	zat	SpellCheckersHeuristic (dist:5)
 # alternatives
	zat.	TextCoreSpellCheckHeuristic
bodv	body	SpellCheckersHeuristic (dist:5)
nreEed	breed	SpellCheckersHeuristic (dist:5)
ever-separating	even-separation	TextCoreSpellCheckHeuristic
epithelium,	epithet,	TextCoreSpellCheckHeuristic
solvents	solvent	SpellCheckersHeuristic (dist:5)
night's	nights	SpellCheckersHeuristic (dist:5)
bather	bathed	SpellCheckersHeuristic (dist:5)
 # alternatives
	bat her	WordUnmergerHeuristic
	bath er	WordUnmergerHeuristic
relaxes	relaxed	SpellCheckersHeuristic (dist:5)
 # alternatives
	relax es	WordUnmergerHeuristic
epithelium	epithet	SpellCheckersHeuristic (dist:5)
untl	unto	SpellCheckersHeuristic (dist:5)
 # alternatives
	un tl	WordUnmergerHeuristic
lather	leather	SpellCheckersHeuristic (dist:5)
 # alternatives
	la ther	WordUnmergerHeuristic
	lath er	WordUnmergerHeuristic
scurf	scarf	SpellCheckersHeuristic (dist:5)
ktst	kant	SpellCheckersHeuristic (dist:5)
medicated	meditated	SpellCheckersHeuristic (dist:5)
 # alternatives
	medica ted	WordUnmergerHeuristic
unmedicated,	dedicated,	TextCoreSpellCheckHeuristic
malpractice,	mal practice,	TextCoreSpellCheckHeuristic
;i,vr	;ian,ver	TextCoreSpellCheckHeuristic
i-no'.i	ian-nod'.ian	TextCoreSpellCheckHeuristic
WittmJ'.'y,.''	witty'.'y'u,.''	TextCoreSpellCheckHeuristic
twentytwo	twenty-two	SpellCheckersHeuristic (dist:5)
 # alternatives
	twenty two	WordUnmergerHeuristic
tereatiug	treating	SpellCheckersHeuristic (dist:5)
Pedestriarusm.	pedestrians.	TextCoreSpellCheckHeuristic
w&iK	wick	SpellCheckersHeuristic (dist:5)
rrora	aurora	SpellCheckersHeuristic (dist:5)
Thetiora	theodora	SpellCheckersHeuristic (dist:5)
itwi,	it wi,	TextCoreSpellCheckHeuristic
nrty	nary	SpellCheckersHeuristic (dist:5)
Hogue	hague	SpellCheckersHeuristic (dist:5)
Macclesfield.	mansfield.	TextCoreSpellCheckHeuristic
Boty	booty	SpellCheckersHeuristic (dist:5)
 # alternatives
	bo ty	WordUnmergerHeuristic
Dowler,	fowler,	TextCoreSpellCheckHeuristic
xowcester,	worcester,	TextCoreSpellCheckHeuristic
wai&ed	wailed	SpellCheckersHeuristic (dist:5)
ouu	oui	SpellCheckersHeuristic (dist:5)
Glan	gland	SpellCheckersHeuristic (dist:5)
Shropshire,	hampshire,	TextCoreSpellCheckHeuristic
Oroates	coates	SpellCheckersHeuristic (dist:5)
Ury.	bury.	TextCoreSpellCheckHeuristic
Folkenberg,	folk-lore,	TextCoreSpellCheckHeuristic
kingdomr	kingdoms	SpellCheckersHeuristic (dist:5)
tne	tine	SpellCheckersHeuristic (dist:5)
stoppages,	stoppage,	TextCoreSpellCheckHeuristic
Aberdeenshire;	aberdeen shire;	TextCoreSpellCheckHeuristic
Weston's	weston	SpellCheckersHeuristic (dist:5)
walkers.	walker.	TextCoreSpellCheckHeuristic
JV.	java	SpellCheckersHeuristic (dist:5)
 # alternatives
	java.	TextCoreSpellCheckHeuristic
Y.Hun.	chunk	SpellCheckersHeuristic (dist:5)
Kev	keg	SpellCheckersHeuristic (dist:5)
lork	lord	SpellCheckersHeuristic (dist:5)
Hones.	honest	SpellCheckersHeuristic (dist:5)
 # alternatives
	honest.	TextCoreSpellCheckHeuristic
